"participantes","par","nomes","transcript"
"1d","parA.pontudo","Otil","o-'tiw"
"1e","parA.pontudo","Explosário","es-plo-'za-rio"
"1f","parA.pontudo","Figoro","fi-'go-ro"
"1g","parA.pontudo","Blafithi","bla-fi-'ti"
"1i","parA.pontudo","cabum","ka-'b~u"
"1j","parA.pontudo","Carmasta","kaR-'mas-ta"
"1l","parA.pontudo","Foltelhe","fow-'te-Le"
"1m","parA.pontudo","Craclecri","kra-kle-'kri"
"1n","parA.pontudo","Palashi","pa-la-'Si"
"1o","parA.pontudo","fortum","foR-'t~u"
"1p","parA.pontudo","Vinipa","vi-'ni-pa"
"1q","parA.pontudo","Turbula","tuR-'bu-la"
"1r","parA.pontudo","Tchapluti","tSa-plu-'ti"
"1s","parA.pontudo","clapatára","kla-pa-'ta-ra"
"1t","parA.pontudo","firialis","fi-ri-a-'lis"
"1v","parA.pontudo","Implito","~i-'pli-to"
"1w","parA.pontudo","Kibungo","ki-'b~u-go"
"1x","parA.pontudo","Botugança","bo-tu-'g~a-sa"
"1aa","parA.pontudo","Plago","pla-go"
"1bb","parA.pontudo","Ixiquitiajo","i-Si-ki-ti-'a-Zo"
"1cc","parA.pontudo","Bracção","bra-ki-'s~aw"
"1ff","parA.pontudo","vipesta","vi-'pes-ta"
"1gg","parA.pontudo","pona","po-na"
"1hh","parA.pontudo","Esleto","es-'le-to"
"1c","parA.redondo","Plastina","plas-'ti-na"
"1d","parA.redondo","Subano","su-'ba-no"
"1e","parA.redondo","Celutório","se-lu-'to-rio"
"1f","parA.redondo","Cetudo","se-'tu-do"
"1g","parA.redondo","Claqui","kla-'ki"
"1j","parA.redondo","Puno","pu-no"
"1l","parA.redondo","Gurronba","gu-'h~o-ba"
"1m","parA.redondo","Sulusbanate","su-lus-ba-'na-te"
"1n","parA.redondo","Colinga","ko-'l~i-ga"
"1o","parA.redondo","belpis","bew-'pis"
"1p","parA.redondo","Crinoma","kri-'no-ma"
"1q","parA.redondo","Uta","u-ta"
"1r","parA.redondo","Groffe","gro-fe"
"1s","parA.redondo","vunheco","vu-'Ne-ko"
"1t","parA.redondo","gongordol","g~o-goR-'dow"
"1v","parA.redondo","Recusto","he-'kus-to"
"1w","parA.redondo","Anomassopéla","a-no-ma-so-'pe-la"
"1aa","parA.redondo","Gofu","go-'fu"
"1cc","parA.redondo","Glolus","glo-'lus"
"1ee","parA.redondo","Inaforme","i-na-'foR-me"
"1ff","parA.redondo","malô","ma-'lo"
"1gg","parA.redondo","cacur","ka-'kuR"
"1hh","parA.redondo","Isral","is-'haw"
"1jj","parA.redondo","Loundin","lown-'d~i"
"1c","parB.pontudo","Zum","z~u"
"1d","parB.pontudo","Norado","no-'ra-do"
"1f","parB.pontudo","Pale","pa-le"
"1g","parB.pontudo","Rem Rem","h~e h~e"
"1j","parB.pontudo","Nirilo","ni-'ri-lo"
"1l","parB.pontudo","Lafasbo","la-'fas-bo"
"1m","parB.pontudo","Rinfi","h~i-'fi"
"1n","parB.pontudo","Risa","hi-za"
"1o","parB.pontudo","risa","hi-za"
"1p","parB.pontudo","Codrinem","ko-'dri-n~e"
"1q","parB.pontudo","Esquerre","es-'ke-he"
"1r","parB.pontudo","Nersso","neR-so"
"1s","parB.pontudo","vislanvo","vis-'l~a-vo"
"1t","parB.pontudo","trifu","tri-'fu"
"1w","parB.pontudo","Grilir","gri-'liR"
"1x","parB.pontudo","Estirandola","es-ti-r~a-'do-la"
"1aa","parB.pontudo","Zizo","zi-zo"
"1bb","parB.pontudo","Kri","kri"
"1cc","parB.pontudo","Visaro","vi-'za-ro"
"1dd","parB.pontudo","Triza","tri-za"
"1ee","parB.pontudo","Zigexto","zi-'ZeS-to"
"1ff","parB.pontudo","dangostil","d~a-gos-'tiw"
"1gg","parB.pontudo","conpom","k~o-p~o"
"1hh","parB.pontudo","Asral","as-'haw"
"1jj","parB.pontudo","Brinzim","br~i-'z~i"
"1c","parB.redondo","Brizina","bri-'zi-na"
"1d","parB.redondo","Curlo","kuR-lo"
"1e","parB.redondo","Hipnático","i-pi-'na-ti-ko"
"1f","parB.redondo","Equivox","e-'ki-voS"
"1h","parB.redondo","lola","lo-la"
"1l","parB.redondo","Casencha","ka-'z~e-Sa"
"1m","parB.redondo","Loiela","loj-'e-la"
"1n","parB.redondo","Profu","pro-'fu"
"1o","parB.redondo","cerius","se-'riws"
"1p","parB.redondo","Lorivo","lo-'ri-vo"
"1q","parB.redondo","Luvo","lu-vo"
"1r","parB.redondo","Careghuna","ka-re-'gu-na"
"1s","parB.redondo","zacro","za-kro"
"1t","parB.redondo","zombaté","z~o-ba-'te"
"1v","parB.redondo","Olusco","o-'lus-ko"
"1w","parB.redondo","Ôumini","ow-mi-ni"
"1aa","parB.redondo","Rodivo","ho-'di-vo"
"1cc","parB.redondo","Lionde","li-'~o-de"
"1dd","parB.redondo","Councli","kown-'kli"
"1ee","parB.redondo","Aspiracorte","as-pi-ra-'koR-te"
"1ff","parB.redondo","coruspitel","ko-rus-pi-'tew"
"1gg","parB.redondo","bune","bu-ne"
"1hh","parB.redondo","Ropelo","ho-'pe-lo"
"1jj","parB.redondo","Mounaim","mow-na-'~i"
"1c","parC.pontudo","Vanvon","v~a-v~o"
"1d","parC.pontudo","Oxal","o-'Saw"
"1e","parC.pontudo","Griteira","gri-'tej-ra"
"1f","parC.pontudo","Feugo","few-go"
"1g","parC.pontudo","Flamboe","fl~a-'bo-e"
"1j","parC.pontudo","Marvino","maR-'vi-no"
"1l","parC.pontudo","Chubrulo","Su-'bru-lo"
"1m","parC.pontudo","Quetoquiti","ke-to-ki-'ti"
"1n","parC.pontudo","Zia","zia"
"1o","parC.pontudo","crampo","kr~a-po"
"1p","parC.pontudo","Moratinhe","mo-ra-'ti-Ne"
"1q","parC.pontudo","Feressi","fe-re-'si"
"1s","parC.pontudo","iscrovunze","is-kro-'v~u-ze"
"1t","parC.pontudo","téfise","te-fi-ze"
"1v","parC.pontudo","Zimbapa","z~i-'ba-pa"
"1w","parC.pontudo","Esmufato","es-mu-'fa-to"
"1x","parC.pontudo","Treconcinto","tre-k~o-'s~i-to"
"1aa","parC.pontudo","Eridos","e-'ri-dos"
"1bb","parC.pontudo","Arkerto","aR-'keR-to"
"1cc","parC.pontudo","Pitaro","pi-'ta-ro"
"1dd","parC.pontudo","Griz","gris"
"1ee","parC.pontudo","Fantoforme","f~a-to-'foR-me"
"1ff","parC.pontudo","cavepe","ka-'ve-pe"
"1gg","parC.pontudo","roufam","how-f~a"
"1hh","parC.pontudo","Joile","Zoj-le"
"1jj","parC.pontudo","Cuenhos","ku-'e-Nos"
"1c","parC.redondo","Polten","pow-t~e"
"1d","parC.redondo","Esvil","es-'viw"
"1e","parC.redondo","Voalês","vo-a-'les"
"1f","parC.redondo","Ginoro","Zi-'no-ro"
"1g","parC.redondo","Blá","bla"
"1h","parC.redondo","maro","ma-ro"
"1i","parC.redondo","meteses","me-'te-zes"
"1j","parC.redondo","Mineu","mi-'new"
"1l","parC.redondo","Tebrofa","te-'bro-fa"
"1m","parC.redondo","Usmauba","us-'maw-ba"
"1n","parC.redondo","Teri","te-'ri"
"1o","parC.redondo","tiano","ti-'a-no"
"1p","parC.redondo","Blica","bli-ka"
"1q","parC.redondo","Adimo","a-'di-mo"
"1t","parC.redondo","angoldo","~a-'gow-do"
"1v","parC.redondo","Zedrata","ze-'dra-ta"
"1w","parC.redondo","Caligã","ka-li-'g~a"
"1x","parC.redondo","Ceriola","se-ri-'o-la"
"1aa","parC.redondo","Lapelu","la-pe-'lu"
"1bb","parC.redondo","Itipoltiun","i-ti-pow-ti-'~u"
"1cc","parC.redondo","Calisso","ka-'li-so"
"1dd","parC.redondo","Shisto","Sis-to"
"1ff","parC.redondo","sôntaro","s~o-ta-ro"
"1gg","parC.redondo","polcher","pow-'SeR"
"1hh","parC.redondo","Ekolia","e-ko-'lia"
"1jj","parC.redondo","Souplam","sow-pl~a"
"1c","parD.pontudo","Linix","li-niS"
"1d","parD.pontudo","Tembril","t~e-'briw"
"1f","parD.pontudo","Printoco","pr~i-'to-ko"
"1j","parD.pontudo","Bline","bli-ne"
"1l","parD.pontudo","Jizinja","Zi-'z~i-Za"
"1m","parD.pontudo","Bloumou","blow-'mow"
"1n","parD.pontudo","Litea","li-'te-a"
"1o","parD.pontudo","lurios","lu-'rios"
"1p","parD.pontudo","Plonino","plo-'ni-no"
"1q","parD.pontudo","Venula","ve-'nu-la"
"1s","parD.pontudo","Laci","la-'si"
"1t","parD.pontudo","caifá","kaj-'fa"
"1v","parD.pontudo","Tegelugo","te-Ze-'lu-go"
"1w","parD.pontudo","Kablim","ka-'bl~i"
"1x","parD.pontudo","Plubivita","plu-bi-'vi-ta"
"1aa","parD.pontudo","Plavi","pla-'vi"
"1bb","parD.pontudo","Ixfluri","iS-flu-'ri"
"1cc","parD.pontudo","Tilhar","ti-'LaR"
"1dd","parD.pontudo","Flispi","flis-'pi"
"1ff","parD.pontudo","ramatriz","ha-ma-'tris"
"1gg","parD.pontudo","rebri","he-'bri"
"1hh","parD.pontudo","Daledo","da-'le-do"
"1jj","parD.pontudo","Lissoim","li-so-'~i"
"1c","parD.redondo","Espirralto","es-pi-'haw-to"
"1e","parD.redondo","Limbático","l~i-'ba-ti-ko"
"1f","parD.redondo","Turquina","tuR-'ki-na"
"1h","parD.redondo","cane","ka-ne"
"1i","parD.redondo","chua","Sua"
"1j","parD.redondo","Rondeira","h~o-'dej-ra"
"1l","parD.redondo","Bigrufe","bi-'gru-fe"
"1m","parD.redondo","Suouso","su-'ow-zo"
"1n","parD.redondo","Trou","trow"
"1o","parD.redondo","vártice","vaR-ti-se"
"1p","parD.redondo","Tomeno","to-'me-no"
"1q","parD.redondo","Ura","u-ra"
"1r","parD.redondo","Achorbora","a-SoR-'bo-ra"
"1s","parD.redondo","iobenza","i-o-'b~e-za"
"1t","parD.redondo","zombo","z~o-bo"
"1v","parD.redondo","Assimpre","a-'s~i-pre"
"1x","parD.redondo","Quenioperça","ke-ni-o-'peR-sa"
"1aa","parD.redondo","Cliva","kli-va"
"1bb","parD.redondo","Ordo","oR-do"
"1cc","parD.redondo","Geseu","Ze-'zew"
"1dd","parD.redondo","Vispolim","vis-po-'l~i"
"1ee","parD.redondo","Ventiral","v~e-ti-'raw"
"1ff","parD.redondo","duviral","du-vi-'raw"
"1gg","parD.redondo","hevi","e-'vi"
"1hh","parD.redondo","Tatale","ta-'ta-le"
"1c","parE.redondo","Quargo","kwaR-go"
"1d","parE.redondo","Chaval","Sa-'vaw"
"1e","parE.redondo","Balônico","ba-'lo-ni-ko"
"1f","parE.redondo","Pixoca","pi-'So-ka"
"1g","parE.redondo","Zomzom","z~o-z~o"
"1h","parE.redondo","fulô","fu-'lo"
"1i","parE.redondo","plis","plis"
"1j","parE.redondo","Fonda","f~o-da"
"1l","parE.redondo","Prodilque","pro-'diw-ke"
"1m","parE.redondo","Baboba","ba-'bo-ba"
"1n","parE.redondo","Juni","Zu-'ni"
"1o","parE.redondo","conjur","k~o-'ZuR"
"1p","parE.redondo","Ziremitro","zi-re-'mi-tro"
"1q","parE.redondo","Absentiã","a-bi-s~e-ti-'~a"
"1s","parE.redondo","Copalanzio","ko-pa-l~a-'zio"
"1t","parE.redondo","undemol","~u-de-'mow"
"1v","parE.redondo","Jaculito","Za-ku-'li-to"
"1w","parE.redondo","Amagueri","a-ma-ge-'ri"
"1x","parE.redondo","Lifundio","li-f~u-'dio"
"1aa","parE.redondo","Ricula","hi-'ku-la"
"1bb","parE.redondo","Oueda","owe-da"
"1cc","parE.redondo","Bolum","bo-'l~u"
"1dd","parE.redondo","Ponjo","p~o-Zo"
"1ee","parE.redondo","Circundobre","siR-k~u-'do-bre"
"1ff","parE.redondo","bengul","b~e-'guw"
"1gg","parE.redondo","inder","~i-'deR"
"1hh","parE.redondo","Queler","ke-'leR"
"1jj","parE.redondo","Shoumo","Sow-mo"
"1c","parE.pontudo","Deslix","des-liS"
"1d","parE.pontudo","Orix","o-riS"
"1e","parE.pontudo","Tibetático","ti-be-'ta-ti-ko"
"1f","parE.pontudo","Nortuda","noR-'tu-da"
"1g","parE.pontudo","Zinzom","z~i-z~o"
"1h","parE.pontudo","derna","deR-na"
"1i","parE.pontudo","catu","ka-'tu"
"1j","parE.pontudo","Estrimo","es-'tri-mo"
"1l","parE.pontudo","Solxantre","sow-'S~a-tre"
"1m","parE.pontudo","Nonineno","no-ni-'ne-no"
"1n","parE.pontudo","Ovena","o-'ve-na"
"1o","parE.pontudo","laratá","la-ra-'ta"
"1p","parE.pontudo","Amispa","a-'mis-pa"
"1q","parE.pontudo","Caci","ka-'si"
"1r","parE.pontudo","salfa","saw-fa"
"1s","parE.pontudo","varelins","va-re-'l~is"
"1t","parE.pontudo","conculhi","k~o-ku-'Li"
"1v","parE.pontudo","Uliano","u-li-'a-no"
"1w","parE.pontudo","Prema","pre-ma"
"1x","parE.pontudo","Assucomato","a-su-ko-'ma-to"
"1aa","parE.pontudo","Ferila","fe-'ri-la"
"1bb","parE.pontudo","Iziquidin","i-zi-ki-'d~i"
"1cc","parE.pontudo","Tendilho","t~e-'di-Lo"
"1dd","parE.pontudo","Zikem","zi-k~e"
"1ff","parE.pontudo","diática","di-'a-ti-ka"
"1gg","parE.pontudo","pones","po-neS"
"1hh","parE.pontudo","Zoele","zo-'e-le"
"1jj","parE.pontudo","Esplam","es-pl~a"
"1c","parF.pontudo","Formadouro","foR-ma-'dow-ro"
"1d","parF.pontudo","livos","li-vos"
"1h","parF.pontudo","diano","di-'a-no"
"1i","parF.pontudo","pidata","pi-'da-ta"
"1j","parF.pontudo","tricanfe","tri-'k~a-fe"
"1l","parF.pontudo","tripeta","tri-'pe-ta"
"1m","parF.pontudo","grazina","gra-'zi-na"
"1n","parF.pontudo","emitilho","e-mi-'ti-Lo"
"1o","parF.pontudo","pirenu","pi-re-'nu"
"1p","parF.pontudo","blinztu","bl~is-'tu"
"1q","parF.pontudo","creniônis","kre-ni-'o-nis"
"1s","parF.pontudo","trinble","tr~i-ble"
"1t","parF.pontudo","reduodo","he-'du-odo"
"1w","parF.pontudo","patuskle","pa-'tus-kle"
"1x","parF.pontudo","ertento","eR-'t~e-to"
"1aa","parF.pontudo","frituê","fri-'tue"
"1bb","parF.pontudo","verpa","veR-pa"
"1dd","parF.pontudo","capangol","ka-p~a-'gow"
"1ee","parF.pontudo","badi","ba-'di"
"1ff","parF.pontudo","celeca","se-'le-ka"
"1gg","parF.pontudo","firimesis","fi-ri-me-'zis"
"1hh","parF.pontudo","cordam","koR-d~a"
"1jj","parF.pontudo","firimesis","fi-ri-me-'zis"
"1c","parF.redondo","oculpático","o-kuw-'pa-ti-ko"
"1d","parF.redondo","campurio","k~a-pu-'rio"
"1e","parF.redondo","ava","a-va"
"1f","parF.redondo","grena","gre-na"
"1g","parF.redondo","chaor","Sa-'oR"
"1h","parF.redondo","lineiro","li-'nej-ro"
"1i","parF.redondo","samala","sa-'ma-la"
"1j","parF.redondo","zucoltre","zu-'kow-tre"
"1l","parF.redondo","sucula","su-'ku-la"
"1m","parF.redondo","lamarte","la-'maR-te"
"1n","parF.redondo","querane","ke-'ra-ne"
"1o","parF.redondo","quazar","kwa-'zaR"
"1q","parF.redondo","etaminje","e-ta-'m~i-Ze"
"1r","parF.redondo","parcatô","paR-ka-'to"
"1s","parF.redondo","oitosa","oj-'to-za"
"1t","parF.redondo","blocado","blo-'ka-do"
"1w","parF.redondo","blenx","bl~e-S"
"1x","parF.redondo","valícete","va-'li-se-te"
"1aa","parF.redondo","lentrilo","l~e-'tri-lo"
"1bb","parF.redondo","banfe","b~a-fe"
"1cc","parF.redondo","cincunono","s~i-ku-'no-no"
"1dd","parF.redondo","estiróde","es-ti-'ro-de"
"1ee","parF.redondo","cirflu","siR-'flu"
"1ff","parF.redondo","lulete","lu-'le-te"
"1hh","parF.redondo","zuembra","zu-'~e-bra"
"1jj","parF.redondo","trombolenes","tr~o-bo-'le-nes"
"2a","parA.pontudo","Cracote","kra-'ko-te"
"2b","parA.pontudo","Poteco","po-'te-ko"
"2c","parA.pontudo","Gaplasteto","ga-plas-'te-to"
"2d","parA.pontudo","bumbei","b~u-'bej"
"2e","parA.pontudo","pentu pa","p~e-'tu 'pa"
"2f","parA.pontudo","bango","b~a-go"
"2h","parA.pontudo","Camide","ka-'mi-de"
"2j","parA.pontudo","exporpra","eS-'poR-pra"
"2l","parA.pontudo","Danlieo","d~a-li-'e-o"
"2m","parA.pontudo","Bomte","b~o-te"
"2n","parA.pontudo","Criloma","kri-'lo-ma"
"2o","parA.pontudo","Peque","pe-ke"
"2p","parA.pontudo","Quefisseri","ke-fi-se-'ri"
